Date,Country_Region,Country_Code,Population,Total_Confirmed_Cases,Total_Fatalities,Total_Recovered_Cases,New_Confirmed_Cases,New_Fatalities,New_Recovered_Cases,Remaining_Confirmed_Cases
29/2/2020,Singapore,SGP,5638676,102,0,72,9,0,10,30
1/3/2020,Singapore,SGP,5638676,106,0,72,4,0,0,34
2/3/2020,Singapore,SGP,5638676,108,0,78,2,0,6,30
3/3/2020,Singapore,SGP,5638676,110,0,78,2,0,0,32
4/3/2020,Singapore,SGP,5638676,110,0,78,0,0,0,32
5/3/2020,Singapore,SGP,5638676,117,0,78,7,0,0,39
6/3/2020,Singapore,SGP,5638676,130,0,78,13,0,0,52
7/3/2020,Singapore,SGP,5638676,138,0,78,8,0,0,60
8/3/2020,Singapore,SGP,5638676,150,0,78,12,0,0,72
9/3/2020,Malaysia,MYS,31528585,117,0,24,18,0,0,93
9/3/2020,Singapore,SGP,5638676,150,0,78,0,0,0,72
10/3/2020,Malaysia,MYS,31528585,129,0,24,12,0,0,105
10/3/2020,Singapore,SGP,5638676,160,0,78,10,0,0,82
11/3/2020,Malaysia,MYS,31528585,149,0,26,20,0,2,123
11/3/2020,Singapore,SGP,5638676,178,0,96,18,0,18,82
12/3/2020,Malaysia,MYS,31528585,149,0,26,0,0,0,123
12/3/2020,Singapore,SGP,5638676,178,0,96,0,0,0,82
13/3/2020,Malaysia,MYS,31528585,197,0,26,48,0,0,171
13/3/2020,Singapore,SGP,5638676,200,0,97,22,0,1,103
14/3/2020,Malaysia,MYS,31528585,238,0,35,41,0,9,203
14/3/2020,Philippines,PHL,106651922,111,8,2,47,3,0,101
14/3/2020,Singapore,SGP,5638676,212,0,105,12,0,8,107
15/3/2020,Indonesia,IDN,267663435,117,5,8,21,0,0,104
15/3/2020,Malaysia,MYS,31528585,428,0,42,190,0,7,386
15/3/2020,Philippines,PHL,106651922,140,11,2,29,3,0,127
15/3/2020,Singapore,SGP,5638676,226,0,105,14,0,0,121
15/3/2020,Thailand,THA,69428524,114,1,37,32,0,2,76
16/3/2020,Indonesia,IDN,267663435,134,5,8,17,0,0,121
16/3/2020,Malaysia,MYS,31528585,566,0,42,138,0,0,524
16/3/2020,Philippines,PHL,106651922,142,12,2,2,1,0,128
16/3/2020,Singapore,SGP,5638676,243,0,109,17,0,4,134
16/3/2020,Thailand,THA,69428524,147,1,38,33,0,1,108
17/3/2020,Indonesia,IDN,267663435,172,5,8,38,0,0,159
17/3/2020,Malaysia,MYS,31528585,673,2,49,107,2,7,622
17/3/2020,Philippines,PHL,106651922,187,12,5,45,0,3,170
17/3/2020,Singapore,SGP,5638676,266,0,114,23,0,5,152
17/3/2020,Thailand,THA,69428524,177,1,41,30,0,3,135
18/3/2020,Indonesia,IDN,267663435,227,19,11,55,14,3,197
18/3/2020,Malaysia,MYS,31528585,790,2,60,117,0,11,728
18/3/2020,Philippines,PHL,106651922,202,19,5,15,7,0,178
18/3/2020,Singapore,SGP,5638676,313,0,114,47,0,0,199
18/3/2020,Thailand,THA,69428524,212,1,42,35,0,1,169
19/3/2020,Indonesia,IDN,267663435,311,25,11,84,6,0,275
19/3/2020,Malaysia,MYS,31528585,900,2,75,110,0,15,823
19/3/2020,Philippines,PHL,106651922,217,17,8,15,-2,3,192
19/3/2020,Singapore,SGP,5638676,345,0,114,32,0,0,231
19/3/2020,Thailand,THA,69428524,272,1,42,60,0,0,229
20/3/2020,Indonesia,IDN,267663435,369,32,15,58,7,4,322
20/3/2020,Malaysia,MYS,31528585,1030,3,87,130,1,12,940
20/3/2020,Philippines,PHL,106651922,230,18,8,13,1,0,204
20/3/2020,Singapore,SGP,5638676,385,0,124,40,0,10,261
20/3/2020,Thailand,THA,69428524,322,1,43,50,0,1,278
21/3/2020,Indonesia,IDN,267663435,450,38,15,81,6,0,397
21/3/2020,Malaysia,MYS,31528585,1183,4,114,153,1,27,1065
21/3/2020,Philippines,PHL,106651922,307,19,13,77,1,5,275
21/3/2020,Singapore,SGP,5638676,432,2,140,47,2,16,290
21/3/2020,Thailand,THA,69428524,411,1,44,89,0,1,366
22/3/2020,Indonesia,IDN,267663435,514,48,29,64,10,14,437
22/3/2020,Malaysia,MYS,31528585,1306,10,139,123,6,25,1157
22/3/2020,Philippines,PHL,106651922,380,25,17,73,6,4,338
22/3/2020,Singapore,SGP,5638676,455,2,144,23,0,4,309
22/3/2020,Thailand,THA,69428524,599,1,45,188,0,1,553
22/3/2020,Vietnam,VNM,95540395,113,0,17,19,0,0,96
23/3/2020,Indonesia,IDN,267663435,579,49,29,65,1,0,501
23/3/2020,Malaysia,MYS,31528585,1518,14,139,212,4,0,1365
23/3/2020,Philippines,PHL,106651922,462,33,17,82,8,0,412
23/3/2020,Singapore,SGP,5638676,509,2,144,54,0,0,363
23/3/2020,Thailand,THA,69428524,721,1,44,122,0,-1,676
23/3/2020,Vietnam,VNM,95540395,123,0,17,10,0,0,106
24/3/2020,Brunei,BRN,428962,104,0,2,13,0,0,102
24/3/2020,Indonesia,IDN,267663435,686,55,30,107,6,1,601
24/3/2020,Malaysia,MYS,31528585,1624,16,183,106,2,44,1425
24/3/2020,Philippines,PHL,106651922,552,35,20,90,2,3,497
24/3/2020,Singapore,SGP,5638676,558,2,156,49,0,12,400
24/3/2020,Thailand,THA,69428524,827,4,57,106,3,13,766
24/3/2020,Vietnam,VNM,95540395,134,0,17,11,0,0,117
25/3/2020,Brunei,BRN,428962,109,0,2,5,0,0,107
25/3/2020,Indonesia,IDN,267663435,790,58,31,104,3,1,701
25/3/2020,Malaysia,MYS,31528585,1796,20,199,172,4,16,1577
